"","City","State","Area","Longitude","Latitude"
"1","New York","New York",783.8,-73.93,40.6643
"2","Los Angeles","California",NA,-118.4,34.0194
"3","Chicago","Illinois",589.6,-87.68,41.8376
"4","Houston","Texas",NA,-95.38,29.7805
"5","Philadelphia","Pennsylvania",347.3,-75.13,40.0094
"6","Phoenix","Arizona",NA,-112,33.5722
"7","San Antonio","Texas",NA,-98.52,29.4724
"8","San Diego","California",842.2,-117.1,32.8153
"9","Dallas","Texas",881.9,-96.79,32.7757
"10","San Jose","California",457.3,-121.8,37.2969
"11","Austin","Texas",835.2,-97.75,30.3072
"12","Jacksonville","Florida",NA,-81.66,30.337
"13","San Francisco","California",121.4,-122.4,37.7751
"14","Indianapolis","Indiana",936.1,-86.14,39.7767
"15","Columbus","Ohio",562.5,-82.98,39.9848
"16","Fort Worth","Texas",880.1,-97.34,32.7795
"17","Charlotte","North Carolina",771,-80.83,35.2087
"18","Detroit","Michigan",359.4,-83.1,42.383
"19","El Paso","Texas",661.1,-106.4,31.8484
"20","Seattle","Washington",217.4,-122.3,47.6205
"21","Denver","Colorado",396.3,-104.8,39.7618
"22","Washington","District of Columbia",158.1,-77.01,38.9041
"23","Memphis","Tennessee",816,-89.97,35.1035
"24","Boston","Massachusetts",125,-71.02,42.332
"25","Nashville","Tennessee",NA,-86.78,36.1718
"26","Baltimore","Maryland",209.6,-76.61,39.3002
"27","Oklahoma City","Oklahoma",NA,-97.51,35.4671
"28","Portland","Oregon",345.6,-122.6,45.537
"29","Las Vegas","Nevada",351.8,-115.2,36.2277
"30","Louisville","Kentucky",842.4,-85.66,38.1781
"31","Milwaukee","Wisconsin",249,-87.96,43.0633
"32","Albuquerque","New Mexico",486.2,-106.6,35.1056
"33","Tucson","Arizona",587.2,-110.8,32.1543
"34","Fresno","California",293.2,-119.7,36.7827
"35","Sacramento","California",253.6,-121.4,38.5666
"36","Long Beach","California",130.3,-118.1,33.8091
"37","Kansas City","Missouri",815.7,-94.55,39.1252
"38","Mesa","Arizona",353.4,-111.7,33.4019
"39","Atlanta","Georgia",344.9,-84.42,33.7629
"40","Virginia Beach","Virginia",644.9,-76.02,36.7793
"41","Omaha","Nebraska",329.2,-96.04,41.2647
